ENSG00000000457 SCYL3
ENSG00000002746 HECW1
ENSG00000002822 MAD1L1
ENSG00000003147 ICA1
ENSG00000003436 TFPI
ENSG00000004534 RBM6
ENSG00000004846 ABCB5
ENSG00000004866 ST7
ENSG00000004897 CDC27
ENSG00000005059 CCDC109B
ENSG00000005108 THSD7A
ENSG00000005339 CREBBP
ENSG00000005436 C2orf3
ENSG00000006059 KRT33A
ENSG00000006788 MYH13
ENSG00000006831 ADIPOR2
ENSG00000007001 UPP2
ENSG00000007168 PAFAH1B1
ENSG00000007174 DNAH9
ENSG00000007402 CACNA2D2
ENSG00000008083 JARID2
ENSG00000008128 CDC2L2
ENSG00000008282 SYPL1
ENSG00000009790 TRAF3IP3
ENSG00000010292 NCAPD2
ENSG00000010803 SCMH1
ENSG00000011275 RNF216
ENSG00000011376 LARS2
ENSG00000011426 ANLN
ENSG00000012504 NR1H4
ENSG00000013523 ANGEL1
ENSG00000015592 STMN4
ENSG00000018408 WWTR1
ENSG00000018510 AGPS
ENSG00000019169 MARCO
ENSG00000019991 HGF
ENSG00000020256 ZFP64
ENSG00000021602 KLRA1
ENSG00000021645 NRXN3
ENSG00000022556 NLRP2
ENSG00000024048 UBR2
ENSG00000025770 NCAPH2
ENSG00000025796 SEC63
ENSG00000026508 CD44
ENSG00000026652 AGPAT4
ENSG00000029363 BCLAF1
ENSG00000029725 RABEP1
ENSG00000030066 NUP160
ENSG00000033800 PIAS1
ENSG00000033867 SLC4A7
ENSG00000034053 APBA2
ENSG00000035499 DEPDC1B
ENSG00000038210 PI4K2B
ENSG00000039139 DNAH5
ENSG00000040341 STAU2
ENSG00000040487 PQLC2
ENSG00000041515 MYO16
ENSG00000041802 LSG1
ENSG00000042781 USH2A
ENSG00000042813 ZPBP
ENSG00000043822 PI4K2A
ENSG00000044459 C9orf39
ENSG00000046889 DEPDC2
ENSG00000048052 HDAC9
ENSG00000048649 RSF1
ENSG00000048991 R3HDM1
ENSG00000049759 NEDD4L
ENSG00000049883 PTCD2
ENSG00000050344 NFE2L3
ENSG00000050438 SLC4A8
ENSG00000050628 PTGER3
ENSG00000053108 FSTL4
ENSG00000053747 LAMA3
ENSG00000053918 KCNQ1
ENSG00000054219 LY75
ENSG00000054282 SDCCAG8
ENSG00000054392 HHAT
ENSG00000054523 KIF1B
ENSG00000054654 SYNE2
ENSG00000055208 MAP3K7IP2
ENSG00000055609 MLL3
ENSG00000056291 NPFFR2
ENSG00000056487 PHF21B
ENSG00000058056 USP13
ENSG00000058668 ATP2B4
ENSG00000058673 ZC3H11A
ENSG00000058866 DGKG
ENSG00000059588 TARBP1
ENSG00000060069 CTDP1
ENSG00000060140 STYK1
ENSG00000060237 WNK1
ENSG00000060566 CREB3L3
ENSG00000060718 COL11A1
ENSG00000061987 MON2
ENSG00000062194 GPBP1
ENSG00000062716 TMEM49
ENSG00000062725 APPBP2
ENSG00000063438 PDCD6
ENSG00000063761 ADCK1
ENSG00000064042 LIMCH1
ENSG00000064489 MEF2B
ENSG00000064651 SLC12A2
ENSG00000064652 SNX24
ENSG00000064763 MLSTD1
ENSG00000064787 BCAS1
ENSG00000064989 CALCRL
ENSG00000065320 NTN1
ENSG00000065491 TBC1D22B
ENSG00000065518 NDUFB4
ENSG00000065809 FAM107B
ENSG00000065883 CDC2L5
ENSG00000066027 PPP2R5A
ENSG00000066032 CTNNA2
ENSG00000066044 ELAVL1
ENSG00000066084 DIP2B
ENSG00000066230 SLC9A3
ENSG00000066557 LRRC40
ENSG00000066777 ARFGEF1
ENSG00000067606 PRKCZ
ENSG00000067704 IARS2
ENSG00000067715 SYT1
ENSG00000067798 NAV3
ENSG00000068024 HDAC4
ENSG00000068489 PRR11
ENSG00000068615 REEP1
ENSG00000068781 STON1
ENSG00000069188 SDK2
ENSG00000069431 ABCC9
ENSG00000069667 RORA
ENSG00000069702 TGFBR3
ENSG00000070366 SMG6
ENSG00000070413 DGCR2
ENSG00000070808 CAMK2A
ENSG00000070814 TCOF1
ENSG00000071051 NCK2
ENSG00000071054 MAP4K4
ENSG00000071242 RPS6KA2
ENSG00000071794 HLTF
ENSG00000071991 CDH19
ENSG00000072041 SLC6A15
ENSG00000072210 ALDH3A2
ENSG00000072657 TRHDE
ENSG00000072786 STK10
ENSG00000072818 CENTB1
ENSG00000072954 TMEM38A
ENSG00000073060 SCARB1
ENSG00000073111 MCM2
ENSG00000073146 MOV10L1
ENSG00000073282 TP63
ENSG00000073711 PPP2R3A
ENSG00000073734 ABCB11
ENSG00000073792 IGF2BP2
ENSG00000074356 C17orf85
ENSG00000074370 ATP2A3
ENSG00000074416 MGLL
ENSG00000074803 SLC12A1
ENSG00000074966 TXK
ENSG00000075035 WSCD2
ENSG00000075223 SEMA3C
ENSG00000075420 FNDC3B
ENSG00000075461 CACNG4
ENSG00000075568 TMEM131
ENSG00000075673 ATP12A
ENSG00000075711 DLG1
ENSG00000076650 GPATCH1
ENSG00000077044 DGKD
ENSG00000077498 TYR
ENSG00000077585 GPR137B
ENSG00000078018 MAP2
ENSG00000078142 PIK3C3
ENSG00000078269 SYNJ2
ENSG00000078295 ADCY2
ENSG00000078304 PPP2R5C
ENSG00000078725 DBC1
ENSG00000078872 NFS1
ENSG00000079691 LRRC16
ENSG00000079841 RIMS1
ENSG00000079931 MOXD1
ENSG00000080224 EPHA6
ENSG00000080503 SMARCA2
ENSG00000080802 CNOT4
ENSG00000080824 HSP90AA2
ENSG00000080845 DLGAP4
ENSG00000080910 CFHR1
