chr10:100015109-100015443 LOXL4
chr10:100365832-100368960 HPSE2
chr10:100486970-100487277 HPSE2
chr10:100679112-100683330 HPSE2
chr10:100685467-100686525 HPSE2
chr10:101411749-101438310 ENTPD7
chr10:103384003-103385082 FBXW4
chr10:116260056-116261557 ABLIM1
chr10:117914811-117914931 GFRA1
chr10:120827977-120828580 EIF3A
chr10:121144348-121144640 GRK5
chr10:121523558-121529850 INPP5F
chr10:122216808-122218945 PPAPDC1A
chr10:122306349-122306427 PPAPDC1A
chr10:122313004-122313334 PPAPDC1A
chr10:1225685-1225873 ADARB2
chr10:125622668-125622779 CPXM2
chr10:12600466-12602979 CAMK1D
chr10:12636209-12636590 CAMK1D
chr10:12697458-12697715 CAMK1D
chr10:127735174-127735974 ADAM12
chr10:127879341-127879417 ADAM12
chr10:128595423-128595611 DOCK1
chr10:128746317-128746971 DOCK1
chr10:128911030-128911109 DOCK1
chr10:129634641-129634854 PTPRE
chr10:129656269-129656378 PTPRE
chr10:132799049-132802769 TCERG1L
chr10:132878676-132881238 TCERG1L
chr10:133602620-133603137 PPP2R2D
chr10:133787814-133787953 C10orf39
chr10:133825332-133825633 C10orf39
chr10:134827358-134827519 KNDC1
chr10:14281768-14282434 FRMD4A
chr10:14723218-14724797 FAM107B
chr10:14976355-14976671 SUV39H2
chr10:1527792-1527898 ADARB2
chr10:16727876-16728152 RSU1
chr10:1674401-1674467 ADARB2
chr10:17134432-17141669 CUBN
chr10:18543082-18543595 CACNB2
chr10:20268731-20269197 PLXDC2
chr10:20517953-20518129 PLXDC2
chr10:21460580-21460674 C10orf113
chr10:22908704-22909589 PIP4K2A
chr10:24321561-24321968 KIAA1217
chr10:24416844-24418447 KIAA1217
chr10:25678293-25678839 GPR158
chr10:27039008-27042156 PDSS1
chr10:28035974-28036208 MKX
chr10:28152782-28153097 ARMC4
chr10:28315724-28315778 ARMC4
chr10:28472512-28472764 MPP7
chr10:28543226-28551805 MPP7
chr10:31286754-31291775 ZNF438
chr10:33137537-33137595 CCDC7
chr10:33532647-33532935 NRP1
chr10:34724475-34724799 PARD3
chr10:34794604-34796662 PARD3
chr10:35633213-35633542 CCNY
chr10:43059691-43060169 RASGEF1A
chr10:45402382-45402459 MARCH8
chr10:4859511-4859694 AKR1CL2
chr10:49587163-49587485 WDFY4
chr10:49983040-49983254 C10orf72
chr10:5238654-5238756 AKR1C4
chr10:5239893-5240994 AKR1C4
chr10:52873683-52884228 PRKG1
chr10:53248477-53248805 PRKG1
chr10:53369520-53377006 PRKG1
chr10:53497674-53497991 PRKG1
chr10:53539485-53540053 PRKG1
chr10:53685624-53688393 PRKG1
chr10:54196503-54199264 MBL2
chr10:55563672-55564138 PCDH15
chr10:55628263-55628553 PCDH15
chr10:55853035-55854376 PCDH15
chr10:56315824-56315998 PCDH15
chr10:56352785-56354364 PCDH15
chr10:56838753-56852666 PCDH15
chr10:56952509-56954609 PCDH15
chr10:57053760-57054258 PCDH15
chr10:592002-592302 DIP2C
chr10:6104775-6104847 IL2RA
chr10:64095686-64100929 ZNF365
chr10:67911219-67911527 CTNNA3
chr10:67989845-68080655 CTNNA3
chr10:68709306-68710228 CTNNA3
chr10:69738232-69740650 PBLD
chr10:69942103-69942424 SLC25A16
chr10:70304331-70304442 STOX1
chr10:70668117-70668440 HKDC1
chr10:72886166-72886310 CDH23
chr10:72926588-72926707 CDH23
chr10:73494663-73494966 SPOCK2
chr10:73540291-73542249 ASCC1
chr10:74468378-74468689 P4HA1
chr10:74512615-74512838 P4HA1
chr10:75043831-75051240 USP54
chr10:77925579-77931025 C10orf11
chr10:78806323-78806405 KCNMA1
chr10:8035830-8037010 TAF3
chr10:8074468-8074608 TAF3
chr10:80846910-80847142 C10orf56
chr10:82232087-82232535 TSPAN14
chr10:87942258-87949899 GRID1
chr10:88050201-88050288 GRID1
chr10:89265778-89266548 MINPP1
chr10:89642804-89643702 PTENP1
chr10:95535468-95536485 LGI1
chr10:95843672-95843987 PLCE1
chr10:96231023-96231202 TBC1D12
chr10:96241532-96241707 TBC1D12
chr10:97141957-97142039 SORBS1
chr10:97197045-97198017 SORBS1
chr10:98686475-98686549 LCOR
chr10:99024854-99027387 ARHGAP19
chr10:99407559-99407616 PI4K2A
chr10:99732997-99733333 CRTAC1
chr1:101161140-101161459 SLC30A7
chr1:10292057-10301253 KIF1B
chr1:103187324-103187647 COL11A1
chr1:107579100-107579499 NTNG1
chr1:107698388-107700940 NTNG1
chr1:108534849-108537325 SLC25A24
chr1:108534849-108538774 SLC25A24
chr1:109168583-109173465 C1orf62
chr1:109374751-109376698 WDR47
chr1:110024362-110046935 GSTM1
chr1:110024362-110046935 GSTM2
chr1:110027612-110037030 GSTM1
chr1:110027612-110037030 GSTM2
chr1:110028467-110029625 GSTM2
chr1:110029967-110037025 GSTM1
chr1:110029967-110037025 GSTM2
chr1:110031655-110056155 GSTM1
chr1:110031655-110056155 GSTM2
chr1:110037664-110044037 GSTM1
chr1:110037664-110044037 GSTM2
chr11:100882192-100888916 TRPC6
chr11:100921983-100922312 TRPC6
chr11:100949829-100950665 TRPC6
chr11:101808772-101812685 TMEM123
chr11:10216624-10217889 SBF2
chr11:102593139-102593294 DYNC2H1
chr11:103421588-103423691 PDGFD
chr11:103454739-103454846 PDGFD
chr11:103515684-103516027 PDGFD
chr11:104230136-104264859 CASP12
chr11:105228703-105229033 GRIA4
chr11:105270716-105271034 GRIA4
chr11:106088452-106088591 GUCY1A2
chr11:106124686-106127479 GUCY1A2
chr11:106291449-106294782 GUCY1A2
chr11:106383806-106384187 GUCY1A2
chr11:106743812-106746730 CWF19L2
chr11:106747014-106748737 CWF19L2
chr11:108307728-108309334 DDX10
chr11:109481910-109482235 ZC3H12C
chr11:112492586-112495157 NCAM1
chr11:11257979-11262144 GALNTL4
chr11:113311020-113311392 HTR3B
chr11:11336195-11337603 GALNTL4
chr11:113902371-113902440 FAM55A
chr11:113930109-113937141 FAM55A
chr1:111629264-111637625 CHIA
chr11:116686133-116688190 BACE1
chr1:111876218-111876328 ADORA3
chr11:120856510-120857915 SORL1
chr11:12109121-12109444 MICAL2
chr11:122293794-122294843 C11orf63
chr11:12358302-12358925 PARVA
chr1:112785076-112789095 CTTNBP2NL
chr1:112838229-112839463 WNT2B
chr11:12900309-12900585 TEAD1
chr11:131873839-131873892 OPCML
chr11:132063794-132064084 OPCML
chr11:132824672-132828108 OPCML
chr1:113841351-113847400 MAGI3
chr11:14304887-14305202 RRAS2
chr1:114845044-114845355 TRIM33
chr1:115246596-115246958 SYCP1
chr1:116031007-116034363 VANGL1
chr11:16862124-16862176 PLEKHA7
chr11:16952746-16953169 PLEKHA7
chr11:18246940-18246993 SAA1
chr11:19137653-19139860 ZDHHC13
chr11:1919463-1919641 MRPL23
chr1:119283722-119285142 TBX15
chr11:20726897-20727300 NELL1
chr11:20801131-20806523 NELL1
chr11:20873097-20873436 NELL1
chr11:21379597-21382057 NELL1
chr11:2514497-2515559 KCNQ1
chr11:26636525-26636623 TMEM16C
chr11:2771213-2771283 KCNQ1
chr11:31350350-31354222 DPH4
chr11:3195278-3200676 MRGPRG
chr11:34065445-34065753 CAPRIN1
chr11:34177311-34182628 ABTB2
chr11:35119053-35119157 CD44
chr11:36604034-36611397 C11orf74
chr11:3899429-3899584 STIM1
chr11:3938932-3939437 STIM1
chr11:3964888-3964977 STIM1
chr11:414961-415236 TMEM16J
chr1:143967114-143967345 NOTCH2NL
chr1:1455775-1456093 ATAD3A
chr1:146398812-146420185 PPIAL4
chr11:46811518-46811903 CKAP5
chr11:47014165-47020287 C11orf49
chr11:47017967-47020025 C11orf49
chr11:47482692-47484577 CUGBP1
chr11:4759098-4759408 MMP26
chr11:47797702-47800075 NUP160
chr11:48076638-48076946 PTPRJ
chr1:148313654-148313834 VPS45
chr11:4924702-4933475 MMP26
chr11:4924967-4928525 MMP26
chr11:4928967-4930825 MMP26
chr11:4930967-4932525 MMP26
chr1:150822162-150854235 LCE3B
chr1:150822162-150854235 LCE3C
chr1:150831967-150853625 LCE3B
chr1:150831967-150853625 LCE3C
chr1:151027412-151036630 LCE1D
chr1:151027412-151036630 LCE1E
chr1:152424912-152426330 TPM3
chr1:152472595-152473047 UBAP2L
chr1:153926384-153931088 DAP3
chr1:153927714-153930237 DAP3
chr1:154110888-154111635 SYT11
chr11:5454574-5455091 HBE1
chr11:5478207-5479747 HBE1
chr11:54788176-54795116 TRIM48
chr11:55122967-55133025 OR4C11
chr11:55126512-55132330 OR4C11
chr11:55154012-55165330 OR4P4
chr11:55155467-55165525 OR4P4
chr11:55170467-55188025 OR4S2
chr11:55178911-55360222 OR5D3P
chr11:55178911-55360222 OR5L1
chr11:55178911-55360222 OR5L2
chr11:55239359-55250844 OR5D3P
chr11:55335901-55351634 OR5L1
chr11:55335901-55351634 OR5L2
chr11:5594004-5595542 TRIM6
chr1:156317338-156317662 KIRREL
chr11:5677031-5677373 TRIM22
chr11:5677031-5677373 TRIM5
chr1:156783365-156788394 OR6Y1
chr11:5716664-5718941 TRIM5
chr11:5741150-5765858 OR52N5
chr11:5741150-5765858 TRIM5
chr11:5741412-5745230 OR52N5
chr11:5741412-5745230 TRIM5
chr11:5745652-5748200 OR52N5
chr11:5745652-5748200 TRIM5
chr11:5750312-5752530 OR52N5
chr11:5750312-5752530 TRIM5
chr11:5753312-5756230 OR52N5
chr11:5753312-5756230 TRIM5
chr11:5756712-5759730 TRIM5
chr11:5760312-5763730 TRIM5
chr11:5764712-5765830 TRIM5
chr11:5830566-5840100 TRIM5
chr11:5831212-5836130 TRIM5
chr11:5838512-5839530 TRIM5
chr11:59377973-59378496 TCN1
chr1:159765218-159846966 FCGR3A
chr1:160497373-160497893 NOS1AP
chr1:1607171-1662053 CDC2L2
chr1:1607171-1662053 SLC35E2
chr1:161104233-161105752 C1orf110
chr11:62268753-62269560 ZBTB3
chr11:63542504-63543418 MACROD1
chr1:163583794-163583878 LMX1A
chr11:63865892-63865971 CCDC88B
chr11:6387449-6387643 APBB1
chr1:165560244-165560306 POU2F1
chr11:65660241-65661297 PACS1
chr11:65690475-65695906 PACS1
chr11:65701986-65702149 PACS1
chr11:65729293-65729801 PACS1
chr1:16623730-16627772 SPATA21
chr1:166291184-166292356 IQWD1
chr11:66468058-66469862 PC
chr11:665965-666120 DEAF1
chr11:667344-667761 DEAF1
chr1:16682451-16684181 CROCCL2
chr1:167494312-167500230 NME7
chr1:167500712-167503530 NME7
chr1:167504112-167505430 NME7
chr1:167506112-167508930 NME7
chr1:168116143-168116381 SCYL3
chr11:68302854-68303534 CPT1A
chr11:69660201-69662135 TMEM16A
chr11:72177640-72178052 STARD10
chr1:173063112-173066030 RABGAP1L
chr1:173063180-173068467 RABGAP1L
chr1:173067012-173067930 RABGAP1L
chr11:74210053-74210371 RNF169
chr1:174744841-174745396 PAPPA2
chr1:174857252-174879943 PAPPA2
chr1:17548760-17550252 PADI4
chr1:176761911-176762325 C1orf49
chr11:77080915-77081236 RSF1
chr11:77197208-77197526 RSF1
chr11:7767748-7789985 OR5P2
chr11:7771412-7775230 OR5P2
chr1:177722218-177724919 C1orf125
chr1:177873905-177874682 TDRD5
